step,tag,position,velocity
0,moveGoal,(4122.2227:8616.668),(0.0:0.0)
1,moveGoal,(4122.2974:8624.168),(0.07466696:7.4996285)
2,moveGoal,(4122.3394:8631.668),(0.04197834:7.4998827)
3,moveGoal,(4122.5615:8639.165),(0.22217368:7.4967084)
4,moveGoal,(4123.691:8646.579),(1.1291811:7.4145093)
5,moveGoal,(4126.182:8653.653),(2.49135:7.07412)
6,moveGoal,(4129.165:8660.534),(2.9830697:6.8812284)
7,moveGoal,(4132.3735:8667.313),(3.20856:6.7790227)
8,moveGoal,(4135.581:8674.093),(3.207712:6.7794237)
9,moveGoal,(4138.535:8680.986),(2.9539845:6.8937635)
10,moveGoal,(4140.7104:8688.164),(2.1751447:7.177656)
11,moveGoal,(4142.114:8695.531),(1.403525:7.367504)
12,moveGoal,(4142.831:8702.997),(0.7174574:7.465605)
13,moveGoal,(4141.636:8710.401),(-1.1945837:7.4042535)
14,moveGoal,(4140.0557:8717.732),(-1.5806726:7.3315396)
15,moveGoal,(4137.1914:8724.664),(-2.8644702:6.9314365)
16,moveGoal,(4134.498:8731.664),(-2.693452:6.9996657)
17,moveGoal,(4132.3267:8738.843),(-2.171524:7.1787524)
18,moveGoal,(4128.618:8745.361),(-3.708573:6.518933)
19,moveGoal,(4125.0293:8751.947),(-3.5889463:6.5855494)
20,moveGoal,(4122.4707:8758.997),(-2.558442:7.050133)
21,moveGoal,(4117.543:8764.651),(-4.927563:5.6541243)
22,moveGoal,(4115.9575:8757.321),(-1.5854013:-7.3305187)
23,moveGoal,(4114.2725:8750.013),(-1.684942:-7.308281)
24,moveGoal,(4112.9424:8742.632),(-1.3301259:-7.3811088)
25,moveGoal,(4112.646:8735.138),(-0.29658252:-7.494134)
26,moveGoal,(4110.801:8727.868),(-1.8452051:-7.2694716)
27,moveGoal,(4108.5786:8720.705),(-2.2221541:-7.1632414)
28,moveGoal,(4106.2485:8713.576),(-2.3300958:-7.128861)
29,moveGoal,(4103.895:8706.455),(-2.3536344:-7.1211243)
30,moveGoal,(4101.552:8699.331),(-2.3434494:-7.124482)
31,moveGoal,(4099.2065:8692.207),(-2.3451982:-7.123907)
32,moveGoal,(4096.857:8685.085),(-2.3498492:-7.122374)
33,moveGoal,(4094.485:8677.97),(-2.3717084:-7.1151247)
34,moveGoal,(4092.3079:8670.793),(-2.177262:-7.1770144)
35,moveGoal,(4090.0835:8663.631),(-2.2243142:-7.1625714)
36,moveGoal,(4087.898:8656.456),(-2.185529:-7.174501)
