step,goal_agent_num,group,group_size,follow
0,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
1,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
2,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
3,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
4,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
5,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
6,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
7,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
8,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
9,0,agent1:agent2:agent3:agent4:agent5:agent6:agent7:agent8:agent9:agent10:agent11:agent12:agent13:agent14:agent15:agent16:agent17:agent18:agent19:agent20:agent21:agent22:agent23:agent24:agent25:agent26:agent27:agent28:agent29:agent30:*agent31:agent32:agent33:agent34:agent35:agent36:agent37:agent38:agent39:agent40:agent41:agent42:agent43:agent44:agent45:agent46:agent47:agent48:agent49:agent50:agent51:agent52:agent53:agent54:agent55:agent56:agent57:agent58:agent59:agent60:*agent61:agent62:agent63:agent64:agent65:agent66:agent67:agent68:agent69:agent70:agent71:agent72:agent73:agent74:agent75:agent76:agent77:agent78:agent79:agent80:agent81:agent82:agent83:agent84:agent85:agent86:agent87:agent88:agent89:agent90,3,0
