step,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
1,0,0,0,0,0,0,0,0.06198522,0.92201453,0
2,0,0,0,0,0,0,0,0.39265245,0.5878349,0
3,0,0,0,0,0,0,0,0.77,0.20333251,0
4,0,0,0,0,0,0,0,0.8916733,0.086103775,0
5,0,0,0,0,0,0,0,0.9292789,0.05120836,0
6,0,0,0,0,0,0,0,0.9620229,0.0219766,0
7,0,0,0,0,0,0,0,0.9876711,0,0
8,0,0,0,0,0,0,0,0.9863633,0,0
9,0,0,0,0,0,0,0,0.98846084,0,0
10,0,0.33168527,0,0,0,0,0,0.65878946,0,0
11,0,0.7024514,0,0,0,0,0,0.287909,0,0
12,0,0.8711131,0,0,0.028834622,0,0,0.092021324,0,0
13,0,0.07486971,0,0,0.107664526,0,0,0.07503358,0,0.7349317
14,0,0.19350846,0,0,0.24559747,0,0,0.01760418,0,0.53639275
15,0,0.28160653,0,0,0.7081361,0,0,0,0,0
16,0,0.061220735,0,0,0.91535926,0,0,0.014668902,0,0
17,0,0,0,0,0.9895339,0,0,0,0,0
18,0,0,0,0,0.9891557,0,0,0,0,0
19,0,0,0,0,0.98860645,0,0,0,0,0
20,0,0.020936862,0,0,0.9672972,0,0,0,0,0
21,0,0,0,0,0.9857135,0,0,0,0,0
22,0,0,0,0,0.9799982,0,0,0,0,0
23,0,0,0,0,0.9756746,0,0,0,0,0
24,0,0,0,0,0.9749989,0,0,0,0,0
25,0,0,0,0,0.97187334,0,0,0,0,0
26,0,0,0,0,0.959089,0,0,0,0,0
27,0,0,0,0,0.94374764,0,0,0,0,0
28,0,0,0,0,0.9181789,0,0,0,0,0
29,0,0,0,0,0.92499775,0,0,0,0,0
30,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
31,0.05000007,0.050001867,0.05000007,0.05000007,0.54998803,0.05000007,0.05000958,0.050000098,0.05000007,0.05000007
32,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
33,0.05000007,0.05000187,0.05000007,0.05000007,0.5499871,0.05000007,0.05001051,0.050000098,0.05000007,0.05000007
