step,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15
1,0,0,0,0,0,0,0,0.061329987,0.92133653,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0.39186242,0.58699894,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0.7688889,0.2022217,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0.89074236,0.085183054,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0.9284581,0.050403297,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0.96133995,0.021326406,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0.9872145,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0.9858585,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0.98803407,0,0,0,0,0,0,0
10,0,0.39323425,0,0,0,0,0,0.59644806,0,0,0,0,0,0,0
11,0,0.7370573,0,0,0,0,0,0.25250074,0,0,0,0,0,0,0
12,0,0.8928119,0,0,0,0,0,0.064970605,0,0,0,0,0,0.033126336,0
13,0,0.4653456,0,0,0,0,0,0.06352423,0,0.38382667,0,0,0,0.078136705,0
14,0,0.44624874,0,0,0,0,0,0.01648887,0,0.28417155,0,0,0,0.2446614,0
15,0,0.30319235,0,0,0,0,0,0,0,0,0,0,0,0.6856964,0
16,0,0.08286939,0,0,0,0,0,0.013871066,0,0,0,0,0,0.8932591,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9891472,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9887549,0
19,0,0.024031863,0,0,0,0,0,0,0,0,0,0,0,0.96499753,0
20,0,0.046698235,0,0,0,0,0,0,0,0,0,0,0,0.94055647,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9851851,0
22,0,0.030443324,0,0,0,0,0,0,0,0,0,0,0,0.9502971,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97477466,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97407395,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9708332,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95757544,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9416664,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9151509,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9222219,0
30,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
31,0.03333338,0.03333338,0.03333338,0.03333338,0.033333544,0.03333338,0.03333338,0.03333338,0.03333338,0.03333338,0.03333338,0.03333338,0.03333338,0.53333247,0.03333338
32,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
33,0.033333384,0.033333384,0.033333384,0.033333384,0.03333354,0.033333384,0.033333384,0.033333384,0.033333384,0.033333384,0.033333384,0.033333384,0.033333384,0.5333325,0.033333384
