step,topic1,topic2,topic3
1,0,0.9871621,0
2,0,0.9883693,0
3,0,0.98683584,0
4,0,0.98421526,0
5,0,0.78655213,0.20478174
6,0.011489105,0.41838843,0.5701224
7,0.011474807,0.23764251,0.7508827
8,0.010423926,0.013134928,0.97644114
9,0,0.010725226,0.97965056
10,0,0.010137165,0.98048085
11,0,0,0.98240757
12,0,0,0.9852064
13,0,0,0.98454845
14,0,0,0.98708963
15,0,0,0.9887757
16,0,0,0.9899996
17,0,0,0.98861766
18,0,0,0.98875725
19,0,0,0.9891406
20,0,0,0.9876748
21,0.23799568,0.08497771,0.67702657
22,0.61234474,0.04246106,0.34519416
23,0.98930806,0,0
24,0.98963,0,0
25,0.7675673,0.22767562,0
26,0.7154214,0.28006554,0
27,0.7899089,0.20558496,0
28,0.6845017,0.3110773,0
29,0.39165714,0.6032806,0
30,0.22088128,0.77472454,0
31,0,0.99107504,0
32,0,0.9901047,0
33,0,0.99083304,0
34,0,0.99120903,0
35,0,0.9904357,0
36,0,0.98897976,0
37,0,0.98908377,0
38,0,0.9880863,0
39,0,0.98921645,0
40,0,0.98663926,0
41,0,0.9867042,0
42,0,0.9880697,0
43,0,0.9874231,0
44,0,0.9853282,0
45,0,0.9857231,0
46,0,0.98467433,0
47,0,0.9838795,0
48,0,0.98245025,0
49,0,0.9809982,0
50,0.010140836,0.9787187,0.011140398
51,0.011660119,0.97550195,0.012837956
52,0.016330298,0.9652201,0.018449562
53,0.018829193,0.9597106,0.02146022
54,0.018696459,0.959854,0.021449551
55,0.014552612,0.96857303,0.016874358
56,0.02281182,0.95025736,0.026930835
57,0.031767935,0.9312656,0.036966473
58,0.023353111,0.4881987,0.48844817
59,0.038885996,0.9160143,0.045099724
60,0.09272995,0.8039713,0.10329873
61,0.113595,0.14242414,0.7439809
62,0.17067045,0.22307412,0.6062555
63,0.17067033,0.22305806,0.60627156
64,0.33333334,0.33333334,0.33333334
65,0.33333334,0.33333334,0.33333334
66,0.17103438,0.6254674,0.20349817
67,0.17103368,0.62553245,0.20343384
