step,topic1,topic2,topic3,topic4
1,0,0.98444694,0,0
2,0,0.083598234,0,0.9040844
3,0,0,0,0.9744722
4,0,0,0,0.97890013
5,0,0,0,0.9814754
6,0,0,0,0.98480785
7,0,0,0,0.9895872
8,0,0,0,0.98833627
9,0.018254066,0,0,0.97503346
10,0.13161634,0.25105682,0,0.61421
11,0.3484237,0.4443517,0,0.20408048
12,0.3483487,0.6456287,0,0
13,0.73847014,0.25486726,0,0
14,0.56459796,0.42940876,0,0
15,0,0.9899328,0,0
16,0,0.8730131,0.12050605,0
17,0,0.99092954,0,0
18,0,0.9905792,0,0
19,0,0.99013597,0,0
20,0,0.98856103,0,0
21,0,0.98763,0,0
22,0,0.98274857,0,0
23,0,0.9179975,0.06830919,0
24,0,0.84370303,0.14218974,0
25,0,0.9756589,0,0
26,0.011634243,0.96469665,0.012260884,0.011408242
27,0.015983518,0.9513949,0.016936053,0.01568554
28,0.022954756,0.024350427,0.92987394,0.02282086
29,0.021039112,0.02269028,0.9353566,0.020913986
30,0.25,0.25,0.25,0.25
31,0.12562034,0.6104923,0.13847066,0.1254167
32,0.25,0.25,0.25,0.25
33,0.12562063,0.61038053,0.13858198,0.1254169
