step,topic1,topic2,topic3,topic4,topic5
1,0,0.9838964,0,0,0
2,0,0.5975017,0,0.38779795,0
3,0,0.13253678,0,0.84737843,0
4,0,0,0,0.97759515,0
5,0,0,0,0.9803616,0
6,0,0,0,0.98391664,0
7,0,0,0,0.98899,0
8,0,0,0,0.9877627,0
9,0,0.030810213,0,0.9613121,0
10,0,0.49247986,0,0.50021255,0
11,0,0.87020355,0,0.122405335,0
12,0.019471113,0.9196902,0,0,0.05621034
13,0.7575572,0.072890304,0,0,0.1644474
14,0.5057415,0.13504657,0,0,0.35455674
15,0,0.12396761,0,0,0.8682218
16,0,0,0,0,0.9897882
17,0,0,0,0,0.99061686
18,0,0,0,0,0.99028003
19,0,0,0,0,0.9897937
20,0,0,0,0,0.988111
21,0,0,0,0,0.9872317
22,0,0,0,0,0.9821241
23,0,0,0,0,0.9782978
24,0,0,0,0,0.9776855
25,0,0,0,0,0.9748503
26,0,0,0,0,0.96350056
27,0.012591247,0.012563275,0.012530394,0.01250088,0.9498142
28,0.018226245,0.01823028,0.018200787,0.01818396,0.9271588
29,0.016702725,0.016711656,0.01668151,0.016667686,0.9332365
30,0.2,0.2,0.2,0.2,0.2
31,0.10000288,0.100257196,0.10000365,0.10000305,0.59973323
32,0.2,0.2,0.2,0.2,0.2
33,0.10000287,0.100258715,0.100003645,0.10000304,0.59973174
